gene,ES2,JHOC5,MOLM13,MV411,TOV21G
A1BG,1.3266771583787582,0.8579909506301036,0.702351227818858,0.35532584453465144,2.1428710551356365
A1CF,0.6611759800216054,2.2309326251763553,1.0574040076865214,0.41285293024508035,2.833510013690162
A2M,0.6538521811795841,0.35619717021197306,0.4699488607466571,0.41420828517388397,1.9041966798503234
A2ML1,0.8859849219331987,0.3933316789394623,1.2145860690245076,0.31436380104313644,3.0947421596280953
A3GALT2,1.096858759242369,1.6744087255062086,0.8588315147908916,0.5013340713605257,1.8729165858488332
A4GALT,0.5965066055944834,1.377660914548145,0.7920287840009332,0.40781734751739057,2.5161396232264646
A4GNT,0.8050777715588128,1.953946361182978,1.6176188117994885,0.49127855325399317,3.006894511578655
AAAS,1.0786392785446524,1.0715140386934128,0.9322582811004455,0.6981666415240102,1.9848976036176837
AACS,0.6290319530617281,0.8758974936566944,0.7908765378143371,0.41179018346488266,2.974944461139784
AADAC,1.1942672346570726,0.5917109617510207,0.7686983974332792,0.3338111764879942,3.949498643722952
AADACL2,1.0113784268951844,1.3352921372080029,0.6523839203527156,0.2984263357475371,1.8503299113386935
AADACL3,0.5007522058271249,0.156344611898066,0.7501990898268531,0.5462730542899663,2.1993542590299837
AADACL4,0.4451557226804326,1.1951842329184128,0.9343270170350634,0.23752028795584765,2.9701821182723074
AADAT,0.6912332144818035,1.9788177225350962,0.6270505370261257,0.2751790643407246,2.493240544936125
AAGAB,1.207272631761207,2.9980336640050664,1.403738408420691,0.42142307463736467,1.805561152283686
AAK1,0.9141455013676005,0.870482843318836,0.6696337799917629,0.6701686764978495,2.4010937297253756
AAMDC,0.6956241972701254,1.4415131727648343,0.432278870745962,0.3142015859988045,3.0339868684044555
AAMP,2.369156851719366,3.037526725747176,1.4871235163727365,1.1439686460421306,3.003478987269828
AANAT,1.3678356247331107,1.274256808317659,0.4550226579380634,0.21773142608049958,3.512640165154764
AAR2,1.0522271016164333,1.2121585266142332,0.9725910366616163,0.36938053607261934,1.7326957317798628
AARD,0.7913814628508125,0.9148423574047095,0.8566822301811782,0.26313636587370154,2.570157644039057
AARS1,1.4627235678289932,1.9434348146914378,1.9496797519644202,0.9835457641135703,4.004446770163561
AARS2,2.7754712418052288,1.3677063219120926,0.7569371013222346,0.5437825399463379,4.362735216347091
AASDH,1.5204353948507157,0.7589177578212543,0.8005459544948533,0.10955772208460442,2.144036944264052
AASDHPPT,2.5875434250817837,2.173705464015716,0.9093155728824525,1.0720770451595314,3.9577278818729282
AASS,0.8103313848823162,1.1025326728130882,0.6007730693454459,0.3418702717340722,1.8082445188764718
AATF,1.1975928878754534,2.6587704297980634,1.0016645660813366,0.6892386067283616,2.5581427204028095
